county,JP_court,case_type,date_range,num_reports_submitted,active_pending_start_date,reactivated,added,disposed,placed_on_inactive_status,active_pending_end_date,source
Lamb,Precinct 1 Place 1,Civil,9/1/2014 - 8/31/2015,12,32,0,17,12,0,37,"AOC Statistical Report, FY2015"
Lamb,Precinct 2 Place 1,Civil,9/1/2014 - 8/31/2015,0,.,.,.,.,.,.,"AOC Statistical Report, FY2015"
Lamb,Precinct 3 Place 1,Civil,9/1/2014 - 8/31/2015,12,65,0,43,47,0,61,"AOC Statistical Report, FY2015"
Lamb,Precinct 4 Place 1,Civil,9/1/2014 - 8/31/2015,12,11,0,12,12,0,11,"AOC Statistical Report, FY2015"
Lampasas,Precinct 1 Place 1,Civil,9/1/2014 - 8/31/2015,12,33,0,121,60,0,97,"AOC Statistical Report, FY2015"
Lampasas,Precinct 2 & 3 Place 1,Civil,9/1/2014 - 8/31/2015,12,164,0,8,0,0,172,"AOC Statistical Report, FY2015"
Lampasas,Precinct 4 Place 1,Civil,9/1/2014 - 8/31/2015,12,23,0,51,48,0,27,"AOC Statistical Report, FY2015"
Lavaca,Precinct 1 Place 1,Civil,9/1/2014 - 8/31/2015,12,5,0,28,21,0,12,"AOC Statistical Report, FY2015"
Lavaca,Precinct 2 Place 1,Civil,9/1/2014 - 8/31/2015,12,20,1,23,38,0,7,"AOC Statistical Report, FY2015"
Lavaca,Precinct 3 Place 1,Civil,9/1/2014 - 8/31/2015,12,5,0,10,12,0,2,"AOC Statistical Report, FY2015"
Lavaca,Precinct 4 Place 1,Civil,9/1/2014 - 8/31/2015,12,945,5,63,75,0,418,"AOC Statistical Report, FY2015"
Lee,Precinct 2 Place 1,Civil,9/1/2014 - 8/31/2015,12,59,0,130,141,0,51,"AOC Statistical Report, FY2015"
Lee,Precinct 3 Place 1,Civil,9/1/2014 - 8/31/2015,12,78,0,46,19,0,106,"AOC Statistical Report, FY2015"
Lee,Precinct 4 Place 1,Civil,9/1/2014 - 8/31/2015,12,145,0,30,1,0,171,"AOC Statistical Report, FY2015"
Leon,Precinct 1 Place 1,Civil,9/1/2014 - 8/31/2015,12,22,0,51,56,0,18,"AOC Statistical Report, FY2015"
Leon,Precinct 2 Place 1,Civil,9/1/2014 - 8/31/2015,12,15,0,21,32,1,8,"AOC Statistical Report, FY2015"
Leon,Precinct 4 Place 1,Civil,9/1/2014 - 8/31/2015,12,4,0,13,11,0,3,"AOC Statistical Report, FY2015"
Liberty,Precinct 1 Place 1,Civil,9/1/2014 - 8/31/2015,12,157,0,164,47,0,197,"AOC Statistical Report, FY2015"
Liberty,Precinct 2 Place 1,Civil,9/1/2014 - 8/31/2015,12,114,0,34,22,0,110,"AOC Statistical Report, FY2015"
Liberty,Precinct 3 Place 1,Civil,9/1/2014 - 8/31/2015,12,8,0,49,32,0,21,"AOC Statistical Report, FY2015"
Liberty,Precinct 4 Place 1,Civil,9/1/2014 - 8/31/2015,12,646,0,307,231,0,717,"AOC Statistical Report, FY2015"
Liberty,Precinct 5 Place 1,Civil,9/1/2014 - 8/31/2015,12,234,0,95,283,0,33,"AOC Statistical Report, FY2015"
Liberty,Precinct 6 Place 1,Civil,9/1/2014 - 8/31/2015,12,401,0,246,128,0,363,"AOC Statistical Report, FY2015"
Limestone,Precinct 1 Place 1,Civil,9/1/2014 - 8/31/2015,12,9,0,57,50,0,8,"AOC Statistical Report, FY2015"
Limestone,Precinct 2 Place 1,Civil,9/1/2014 - 8/31/2015,12,48,0,100,93,0,31,"AOC Statistical Report, FY2015"
Limestone,Precinct 3 Place 1,Civil,9/1/2014 - 8/31/2015,12,11,0,67,56,0,21,"AOC Statistical Report, FY2015"
Limestone,Precinct 4 Place 2,Civil,9/1/2014 - 8/31/2015,12,219,0,98,94,0,216,"AOC Statistical Report, FY2015"
Lipscomb,Countywide,Civil,9/1/2014 - 8/31/2015,12,237,0,17,30,0,214,"AOC Statistical Report, FY2015"
Live Oak,Precinct 1,Civil,9/1/2014 - 8/31/2015,12,7,0,12,13,0,1,"AOC Statistical Report, FY2015"
Live Oak,Precinct 2 Place 1,Civil,9/1/2014 - 8/31/2015,12,54,0,11,3,0,62,"AOC Statistical Report, FY2015"
Live Oak,Precinct 3 Place 1,Civil,9/1/2014 - 8/31/2015,12,4,0,9,4,0,3,"AOC Statistical Report, FY2015"
Live Oak,Precinct 4 Place 1,Civil,9/1/2014 - 8/31/2015,12,4,0,21,26,0,0,"AOC Statistical Report, FY2015"
Llano,Precinct 1 Place 1,Civil,9/1/2014 - 8/31/2015,12,173,0,28,20,0,240,"AOC Statistical Report, FY2015"
Llano,Precinct 2 Place 1,Civil,9/1/2014 - 8/31/2015,12,16,0,41,32,0,20,"AOC Statistical Report, FY2015"
Llano,Precinct 3 Place 1,Civil,9/1/2014 - 8/31/2015,12,9,0,60,58,0,11,"AOC Statistical Report, FY2015"
Llano,Precinct 4 Place 1,Civil,9/1/2014 - 8/31/2015,12,76,0,53,39,0,89,"AOC Statistical Report, FY2015"
Loving,Countywide,Civil,9/1/2014 - 8/31/2015,12,0,0,0,0,0,0,"AOC Statistical Report, FY2015"
Lubbock,Precinct 1 Place 1,Civil,9/1/2014 - 8/31/2015,12,714,0,1237,1261,13,677,"AOC Statistical Report, FY2015"
Lubbock,Precinct 2 Place 1,Civil,9/1/2014 - 8/31/2015,12,3143,0,1187,1154,5,3171,"AOC Statistical Report, FY2015"
Lubbock,Precinct 3 Place 1,Civil,9/1/2014 - 8/31/2015,12,524,1,1466,1376,144,471,"AOC Statistical Report, FY2015"
Lubbock,Precinct 4 Place 1,Civil,9/1/2014 - 8/31/2015,12,328,0,900,806,0,271,"AOC Statistical Report, FY2015"
Lynn,Precinct 1 Place 1,Civil,9/1/2014 - 8/31/2015,0,.,.,.,.,.,.,"AOC Statistical Report, FY2015"
Lynn,Precinct 4 Place 1,Civil,9/1/2014 - 8/31/2015,12,9,0,2,3,0,8,"AOC Statistical Report, FY2015"
Madison,Precinct 1,Civil,9/1/2014 - 8/31/2015,12,528,0,49,39,0,537,"AOC Statistical Report, FY2015"
Madison,Precinct 2,Civil,9/1/2014 - 8/31/2015,12,598,0,55,43,0,609,"AOC Statistical Report, FY2015"
Marion,Precinct 1 Place 1,Civil,9/1/2014 - 8/31/2015,12,286,0,54,27,0,309,"AOC Statistical Report, FY2015"
Marion,Precinct 2 Place 1,Civil,9/1/2014 - 8/31/2015,12,14,0,20,20,0,14,"AOC Statistical Report, FY2015"
Martin,Precinct 1,Civil,9/1/2014 - 8/31/2015,12,14,0,10,2,0,22,"AOC Statistical Report, FY2015"
Martin,Precinct 2,Civil,9/1/2014 - 8/31/2015,12,20,0,12,0,0,32,"AOC Statistical Report, FY2015"
Mason,Countywide,Civil,9/1/2014 - 8/31/2015,12,4,0,6,6,0,4,"AOC Statistical Report, FY2015"
Matagorda,Precinct 1 Place 1,Civil,9/1/2014 - 8/31/2015,12,24,0,116,103,0,40,"AOC Statistical Report, FY2015"
Matagorda,Precinct 2 Place 1,Civil,9/1/2014 - 8/31/2015,12,70,0,126,88,0,108,"AOC Statistical Report, FY2015"
Matagorda,Precinct 3 Place 1,Civil,9/1/2014 - 8/31/2015,12,116,0,150,119,0,57,"AOC Statistical Report, FY2015"
Matagorda,Precinct 4 Place 1,Civil,9/1/2014 - 8/31/2015,12,59,0,47,53,4,18,"AOC Statistical Report, FY2015"
Matagorda,Precinct 6 Place 1,Civil,9/1/2014 - 8/31/2015,12,6,0,12,13,0,5,"AOC Statistical Report, FY2015"
Maverick,Precinct 1 Place 1,Civil,9/1/2014 - 8/31/2015,12,77,0,96,152,0,21,"AOC Statistical Report, FY2015"
Maverick,Precinct 2 Place 1,Civil,9/1/2014 - 8/31/2015,0,.,.,.,.,.,.,"AOC Statistical Report, FY2015"
Maverick,Precinct 3 Place 1,Civil,9/1/2014 - 8/31/2015,0,.,.,.,.,.,.,"AOC Statistical Report, FY2015"
Maverick,Precinct 3 Place 2,Civil,9/1/2014 - 8/31/2015,12,0,0,9,8,0,1,"AOC Statistical Report, FY2015"
Maverick,Precinct 4 Place 1,Civil,9/1/2014 - 8/31/2015,12,28,0,112,98,0,42,"AOC Statistical Report, FY2015"
McCulloch,Countywide,Civil,9/1/2014 - 8/31/2015,12,815,0,80,47,0,847,"AOC Statistical Report, FY2015"
McLennan,Precinct 1 Place 1,Civil,9/1/2014 - 8/31/2015,12,2663,0,1221,984,71,2921,"AOC Statistical Report, FY2015"
McLennan,Precinct 1 Place 2,Civil,9/1/2014 - 8/31/2015,12,783,0,963,1000,0,746,"AOC Statistical Report, FY2015"
McLennan,Precinct 2,Civil,9/1/2014 - 8/31/2015,0,.,.,.,.,.,.,"AOC Statistical Report, FY2015"
McLennan,Precinct 3,Civil,9/1/2014 - 8/31/2015,0,.,.,.,.,.,.,"AOC Statistical Report, FY2015"
McLennan,Precinct 4,Civil,9/1/2014 - 8/31/2015,12,273,0,235,224,0,284,"AOC Statistical Report, FY2015"
McLennan,Precinct 5,Civil,9/1/2014 - 8/31/2015,12,751,0,595,359,0,987,"AOC Statistical Report, FY2015"
McMullen,Countywide,Civil,9/1/2014 - 8/31/2015,12,9,0,1,1,0,9,"AOC Statistical Report, FY2015"
Medina,Precinct 1 Place 1,Civil,9/1/2014 - 8/31/2015,12,905,0,87,0,0,992,"AOC Statistical Report, FY2015"
Medina,Precinct 2 Place 1,Civil,9/1/2014 - 8/31/2015,12,164,0,77,41,7,194,"AOC Statistical Report, FY2015"
Medina,Precinct 3 Place 1,Civil,9/1/2014 - 8/31/2015,12,29,0,86,81,0,34,"AOC Statistical Report, FY2015"
Medina,Precinct 4 Place 1,Civil,9/1/2014 - 8/31/2015,12,425,0,130,91,5,474,"AOC Statistical Report, FY2015"
Menard,Countywide,Civil,9/1/2014 - 8/31/2015,12,49,0,10,9,0,50,"AOC Statistical Report, FY2015"
Midland,Precinct 1,Civil,9/1/2014 - 8/31/2015,12,3063,0,305,274,0,3088,"AOC Statistical Report, FY2015"
Midland,Precinct 2,Civil,9/1/2014 - 8/31/2015,12,6276,0,375,214,0,6379,"AOC Statistical Report, FY2015"
Midland,Precinct 3,Civil,9/1/2014 - 8/31/2015,12,3005,0,364,283,0,2982,"AOC Statistical Report, FY2015"
Midland,Precinct 4,Civil,9/1/2014 - 8/31/2015,12,1503,0,325,241,0,1564,"AOC Statistical Report, FY2015"
Milam,Precinct 1 Place 1,Civil,9/1/2014 - 8/31/2015,12,25,0,79,68,0,38,"AOC Statistical Report, FY2015"
Milam,Precinct 2 Place 1,Civil,9/1/2014 - 8/31/2015,0,.,.,.,.,.,.,"AOC Statistical Report, FY2015"
Milam,Precinct 3 Place 1,Civil,9/1/2014 - 8/31/2015,12,25,0,65,32,3,54,"AOC Statistical Report, FY2015"
Milam,Precinct 4 Place 1,Civil,9/1/2014 - 8/31/2015,12,8,0,51,51,0,8,"AOC Statistical Report, FY2015"
Mills,Countywide,Civil,9/1/2014 - 8/31/2015,12,27,0,26,20,0,30,"AOC Statistical Report, FY2015"
Mitchell,Precincts 1 & 4 Place 1,Civil,9/1/2014 - 8/31/2015,12,374,0,66,62,0,389,"AOC Statistical Report, FY2015"
Mitchell,Precincts 2 & 3 Place 1,Civil,9/1/2014 - 8/31/2015,12,219,0,27,22,0,227,"AOC Statistical Report, FY2015"
Montague,Precinct 1 Place 1,Civil,9/1/2014 - 8/31/2015,12,168,0,6,0,0,174,"AOC Statistical Report, FY2015"
Montague,Precinct 2 Place 1,Civil,9/1/2014 - 8/31/2015,12,945,0,79,114,0,911,"AOC Statistical Report, FY2015"
Montgomery,Precinct 1 Place 1,Civil,9/1/2014 - 8/31/2015,12,282,0,1248,1119,0,359,"AOC Statistical Report, FY2015"
Montgomery,Precinct 2 Place 1,Civil,9/1/2014 - 8/31/2015,12,3841,0,1072,871,2,3218,"AOC Statistical Report, FY2015"
Montgomery,Precinct 3 Place 1,Civil,9/1/2014 - 8/31/2015,12,1054,5,1792,1646,35,1176,"AOC Statistical Report, FY2015"
Montgomery,Precinct 4 Place 1,Civil,9/1/2014 - 8/31/2015,12,4164,0,1565,1207,0,4492,"AOC Statistical Report, FY2015"
Montgomery,Precinct 5 Place 1,Civil,9/1/2014 - 8/31/2015,12,1764,0,835,803,0,2135,"AOC Statistical Report, FY2015"
Moore,Precinct 1 Place 1,Civil,9/1/2014 - 8/31/2015,12,886,0,128,155,0,861,"AOC Statistical Report, FY2015"
Moore,Precinct 2 Place 1,Civil,9/1/2014 - 8/31/2015,12,3,0,30,25,0,12,"AOC Statistical Report, FY2015"
Morris,Precinct 1,Civil,9/1/2014 - 8/31/2015,12,134,0,24,24,0,135,"AOC Statistical Report, FY2015"
Morris,Precinct 2,Civil,9/1/2014 - 8/31/2015,12,186,0,30,16,0,201,"AOC Statistical Report, FY2015"
Morris,Precinct 3,Civil,9/1/2014 - 8/31/2015,1,236,0,0,0,0,0,"AOC Statistical Report, FY2015"
Morris,Precinct 4,Civil,9/1/2014 - 8/31/2015,1,31,0,0,0,0,0,"AOC Statistical Report, FY2015"
Motley,Countywide,Civil,9/1/2014 - 8/31/2015,12,6,0,5,3,0,7,"AOC Statistical Report, FY2015"
Nacogdoches,Precinct 1 Place 1,Civil,9/1/2014 - 8/31/2015,12,161,0,138,137,0,158,"AOC Statistical Report, FY2015"
Nacogdoches,Precinct 2 Place 1,Civil,9/1/2014 - 8/31/2015,12,738,0,298,270,0,760,"AOC Statistical Report, FY2015"
Nacogdoches,Precinct 3 Place 1,Civil,9/1/2014 - 8/31/2015,12,132,0,145,122,0,155,"AOC Statistical Report, FY2015"
Nacogdoches,Precinct 4 Place 1,Civil,9/1/2014 - 8/31/2015,12,225,0,119,106,0,223,"AOC Statistical Report, FY2015"
Navarro,Precinct 1,Civil,9/1/2014 - 8/31/2015,12,60,0,185,186,0,60,"AOC Statistical Report, FY2015"
Navarro,Precinct 2,Civil,9/1/2014 - 8/31/2015,12,69,0,152,156,0,65,"AOC Statistical Report, FY2015"
Navarro,Precinct 3,Civil,9/1/2014 - 8/31/2015,12,68,0,148,126,7,90,"AOC Statistical Report, FY2015"
Navarro,Precinct 4,Civil,9/1/2014 - 8/31/2015,12,43,0,171,172,0,42,"AOC Statistical Report, FY2015"
Newton,Precinct 1 Place 1,Civil,9/1/2014 - 8/31/2015,12,107,0,53,27,0,128,"AOC Statistical Report, FY2015"
Newton,Precinct 2 Place 1,Civil,9/1/2014 - 8/31/2015,12,18,0,14,12,0,17,"AOC Statistical Report, FY2015"
Newton,Precinct 3 Place 1,Civil,9/1/2014 - 8/31/2015,12,22,0,28,21,0,28,"AOC Statistical Report, FY2015"
Newton,Precinct 4 Place 1,Civil,9/1/2014 - 8/31/2015,12,125,0,22,1,0,146,"AOC Statistical Report, FY2015"
Nolan,Countywide,Civil,9/1/2014 - 8/31/2015,12,293,28,196,128,7,382,"AOC Statistical Report, FY2015"
Nueces,Precinct 1 Place 1,Civil,9/1/2014 - 8/31/2015,12,897,0,673,422,1,1243,"AOC Statistical Report, FY2015"
Nueces,Precinct 1 Place 2,Civil,9/1/2014 - 8/31/2015,12,350,0,614,650,0,327,"AOC Statistical Report, FY2015"
Nueces,Precinct 1 Place 3,Civil,9/1/2014 - 8/31/2015,12,145,0,223,156,0,183,"AOC Statistical Report, FY2015"
Nueces,Precinct 2 Place 1,Civil,9/1/2014 - 8/31/2015,12,443,0,1158,952,0,963,"AOC Statistical Report, FY2015"
Nueces,Precinct 2 Place 2,Civil,9/1/2014 - 8/31/2015,12,348,0,483,490,0,220,"AOC Statistical Report, FY2015"
Nueces,Precinct 3,Civil,9/1/2014 - 8/31/2015,12,4,0,36,27,0,22,"AOC Statistical Report, FY2015"
Nueces,Precinct 4 Place 1,Civil,9/1/2014 - 8/31/2015,12,163,0,88,66,0,190,"AOC Statistical Report, FY2015"
Nueces,Precinct 5 Place 1,Civil,9/1/2014 - 8/31/2015,12,234,0,184,140,0,305,"AOC Statistical Report, FY2015"
Nueces,Precinct 5 Place 2,Civil,9/1/2014 - 8/31/2015,12,29,0,3,7,0,22,"AOC Statistical Report, FY2015"
Ochiltree,Countywide,Civil,9/1/2014 - 8/31/2015,12,3043,0,88,63,2,3063,"AOC Statistical Report, FY2015"
Oldham,Countywide,Civil,9/1/2014 - 8/31/2015,12,65,0,14,13,0,66,"AOC Statistical Report, FY2015"
Orange,Precinct 1 Place 1,Civil,9/1/2014 - 8/31/2015,12,53,0,444,418,0,73,"AOC Statistical Report, FY2015"
Orange,Precinct 2 Place 1,Civil,9/1/2014 - 8/31/2015,12,119,0,249,247,0,119,"AOC Statistical Report, FY2015"
Orange,Precinct 3 Place 1,Civil,9/1/2014 - 8/31/2015,12,69,0,268,216,0,114,"AOC Statistical Report, FY2015"
Orange,Precinct 4 Place 1,Civil,9/1/2014 - 8/31/2015,12,120,0,347,305,0,136,"AOC Statistical Report, FY2015"
Palo Pinto,Precinct 1 Place 1,Civil,9/1/2014 - 8/31/2015,12,20,0,18,13,0,18,"AOC Statistical Report, FY2015"
Palo Pinto,Precinct 2 Place 1,Civil,9/1/2014 - 8/31/2015,12,15,0,24,27,0,10,"AOC Statistical Report, FY2015"
Palo Pinto,Precinct 3 Place 1,Civil,9/1/2014 - 8/31/2015,12,16,0,38,14,0,115,"AOC Statistical Report, FY2015"
Palo Pinto,Precinct 4 Place 1,Civil,9/1/2014 - 8/31/2015,12,4,0,1,1,0,4,"AOC Statistical Report, FY2015"
Palo Pinto,Precinct 5 Place 1,Civil,9/1/2014 - 8/31/2015,12,758,0,323,290,0,790,"AOC Statistical Report, FY2015"
Panola,Precinct 1 & 4,Civil,9/1/2014 - 8/31/2015,12,72,3,91,125,0,41,"AOC Statistical Report, FY2015"
Panola,Precinct 2 & 3,Civil,9/1/2014 - 8/31/2015,12,45,0,103,70,0,78,"AOC Statistical Report, FY2015"
Parker,Precinct 1,Civil,9/1/2014 - 8/31/2015,12,61,0,370,296,0,135,"AOC Statistical Report, FY2015"
Parker,Precinct 2,Civil,9/1/2014 - 8/31/2015,12,143,0,384,332,0,220,"AOC Statistical Report, FY2015"
Parker,Precinct 3,Civil,9/1/2014 - 8/31/2015,12,257,0,411,323,0,352,"AOC Statistical Report, FY2015"
Parker,Precinct 4,Civil,9/1/2014 - 8/31/2015,12,57,0,185,147,0,94,"AOC Statistical Report, FY2015"
Parmer,Precinct 1 Place 1,Civil,9/1/2014 - 8/31/2015,12,194,0,19,14,0,198,"AOC Statistical Report, FY2015"
Parmer,Precinct 2 Place 1,Civil,9/1/2014 - 8/31/2015,12,86,0,52,29,0,106,"AOC Statistical Report, FY2015"
Parmer,Precinct 3 Place 1,Civil,9/1/2014 - 8/31/2015,12,101,0,8,11,0,98,"AOC Statistical Report, FY2015"
Pecos,Precinct 1 Place 1,Civil,9/1/2014 - 8/31/2015,12,1380,0,105,162,0,1370,"AOC Statistical Report, FY2015"
Pecos,Precinct 3 Place 1,Civil,9/1/2014 - 8/31/2015,12,0,0,9,8,0,1,"AOC Statistical Report, FY2015"
Pecos,Precinct 4 Place 1,Civil,9/1/2014 - 8/31/2015,12,0,0,2,2,0,1,"AOC Statistical Report, FY2015"
Pecos,Precinct 6 Place 1,Civil,9/1/2014 - 8/31/2015,12,0,0,1,1,0,0,"AOC Statistical Report, FY2015"
Polk,Precinct 1 Place 1,Civil,9/1/2014 - 8/31/2015,12,136,0,220,178,0,211,"AOC Statistical Report, FY2015"
Polk,Precinct 2 Place 1,Civil,9/1/2014 - 8/31/2015,12,196,0,200,202,0,61,"AOC Statistical Report, FY2015"
Polk,Precinct 3 Place 1,Civil,9/1/2014 - 8/31/2015,12,85,0,106,66,0,142,"AOC Statistical Report, FY2015"
Polk,Precinct 4 Place 1,Civil,9/1/2014 - 8/31/2015,12,146,0,96,95,0,148,"AOC Statistical Report, FY2015"
Potter,Precinct 1,Civil,9/1/2014 - 8/31/2015,12,146,0,952,868,0,219,"AOC Statistical Report, FY2015"
Potter,Precinct 2,Civil,9/1/2014 - 8/31/2015,12,37,2,321,267,0,92,"AOC Statistical Report, FY2015"
Potter,Precinct 3,Civil,9/1/2014 - 8/31/2015,12,360,3,353,307,0,409,"AOC Statistical Report, FY2015"
Potter,Precinct 4,Civil,9/1/2014 - 8/31/2015,12,68,0,665,621,0,104,"AOC Statistical Report, FY2015"
Presidio,Precinct 1 Place 1,Civil,9/1/2014 - 8/31/2015,12,238,0,25,16,0,247,"AOC Statistical Report, FY2015"
Presidio,Precinct 2 Place 1,Civil,9/1/2014 - 8/31/2015,12,137,0,22,18,0,142,"AOC Statistical Report, FY2015"
Rains,Countywide,Civil,9/1/2014 - 8/31/2015,12,86,0,57,78,0,63,"AOC Statistical Report, FY2015"
Randall,Precinct 1 Place 1,Civil,9/1/2014 - 8/31/2015,12,337,0,455,406,0,435,"AOC Statistical Report, FY2015"
Randall,Precinct 4 Place 1,Civil,9/1/2014 - 8/31/2015,12,274,0,1066,1080,3,385,"AOC Statistical Report, FY2015"
Reagan,Countywide,Civil,9/1/2014 - 8/31/2015,12,6,0,23,21,0,8,"AOC Statistical Report, FY2015"
Real,Precincts 1 & 2 Place 1,Civil,9/1/2014 - 8/31/2015,12,5,0,13,5,0,10,"AOC Statistical Report, FY2015"
Real,Precincts 3 & 4 Place 1,Civil,9/1/2014 - 8/31/2015,12,5,0,4,2,0,2,"AOC Statistical Report, FY2015"
Red River,Countywide,Civil,9/1/2014 - 8/31/2015,12,556,0,109,85,0,569,"AOC Statistical Report, FY2015"
Reeves,Precinct 1 Place 1,Civil,9/1/2014 - 8/31/2015,12,202,0,68,36,0,0,"AOC Statistical Report, FY2015"
Reeves,Precinct 2 Place 1,Civil,9/1/2014 - 8/31/2015,12,739,0,38,23,0,0,"AOC Statistical Report, FY2015"
Reeves,Precinct 3 Place 1,Civil,9/1/2014 - 8/31/2015,12,207,0,3,3,0,0,"AOC Statistical Report, FY2015"
Reeves,Precinct 4 Place 1,Civil,9/1/2014 - 8/31/2015,12,166,0,23,11,0,159,"AOC Statistical Report, FY2015"
Refugio,Precinct 1,Civil,9/1/2014 - 8/31/2015,12,25,0,25,27,0,6,"AOC Statistical Report, FY2015"
Refugio,Precinct 2,Civil,9/1/2014 - 8/31/2015,12,10,0,20,17,0,13,"AOC Statistical Report, FY2015"
Roberts,Countywide,Civil,9/1/2014 - 8/31/2015,12,10,0,7,2,0,15,"AOC Statistical Report, FY2015"
Robertson,Precinct 1,Civil,9/1/2014 - 8/31/2015,12,2,0,18,16,0,4,"AOC Statistical Report, FY2015"
Robertson,Precinct 2 Place 1,Civil,9/1/2014 - 8/31/2015,12,2,0,20,16,0,10,"AOC Statistical Report, FY2015"
Robertson,Precinct 3 Place 1,Civil,9/1/2014 - 8/31/2015,12,7,0,22,28,0,2,"AOC Statistical Report, FY2015"
Robertson,Precinct 4 Place 1,Civil,9/1/2014 - 8/31/2015,12,7,0,29,33,0,4,"AOC Statistical Report, FY2015"
Rockwall,Precinct 1 Place 1,Civil,9/1/2014 - 8/31/2015,12,173,21,334,326,16,188,"AOC Statistical Report, FY2015"
Rockwall,Precinct 2 Place 1,Civil,9/1/2014 - 8/31/2015,12,117,0,224,244,1,102,"AOC Statistical Report, FY2015"
Rockwall,Precinct 3 Place 1,Civil,9/1/2014 - 8/31/2015,12,25,0,140,126,0,37,"AOC Statistical Report, FY2015"
Rockwall,Precinct 4 Place 1,Civil,9/1/2014 - 8/31/2015,12,39,2,155,159,4,33,"AOC Statistical Report, FY2015"
Runnels,Precinct 1 Place 1,Civil,9/1/2014 - 8/31/2015,12,101,0,39,36,0,77,"AOC Statistical Report, FY2015"
Runnels,Precinct 2 Place 1,Civil,9/1/2014 - 8/31/2015,12,47,0,19,44,0,23,"AOC Statistical Report, FY2015"
Rusk,Precinct 1 Place 1,Civil,9/1/2014 - 8/31/2015,12,31,0,71,73,33,29,"AOC Statistical Report, FY2015"
Rusk,Precinct 2 Place 1,Civil,9/1/2014 - 8/31/2015,12,25,1,47,57,0,14,"AOC Statistical Report, FY2015"
Rusk,Precinct 3 Place 1,Civil,9/1/2014 - 8/31/2015,12,60,0,31,17,0,74,"AOC Statistical Report, FY2015"
Rusk,Precinct 4 Place 1,Civil,9/1/2014 - 8/31/2015,12,7,0,30,19,0,14,"AOC Statistical Report, FY2015"
Rusk,Precinct 5 Place 1,Civil,9/1/2014 - 8/31/2015,12,81,0,187,157,0,81,"AOC Statistical Report, FY2015"
Sabine,Precinct 1 Place 1,Civil,9/1/2014 - 8/31/2015,12,34,0,35,20,0,46,"AOC Statistical Report, FY2015"
Sabine,Precinct 2 Place 1,Civil,9/1/2014 - 8/31/2015,12,47,0,46,20,0,60,"AOC Statistical Report, FY2015"
San Augustine,Precinct 1 Place 1,Civil,9/1/2014 - 8/31/2015,12,15,0,13,16,0,11,"AOC Statistical Report, FY2015"
San Augustine,Precinct 2 Place 1,Civil,9/1/2014 - 8/31/2015,12,101,0,19,18,0,101,"AOC Statistical Report, FY2015"
San Augustine,Precinct 3 Place 1,Civil,9/1/2014 - 8/31/2015,12,106,0,16,15,0,105,"AOC Statistical Report, FY2015"
San Augustine,Precinct 4 Place 1,Civil,9/1/2014 - 8/31/2015,12,196,0,6,6,0,196,"AOC Statistical Report, FY2015"
San Jacinto,Precinct 1 Place 1,Civil,9/1/2014 - 8/31/2015,12,77,0,18,16,0,76,"AOC Statistical Report, FY2015"
San Jacinto,Precinct 2 Place 1,Civil,9/1/2014 - 8/31/2015,12,128,0,74,139,0,60,"AOC Statistical Report, FY2015"
San Jacinto,Precinct 3 Place 1,Civil,9/1/2014 - 8/31/2015,12,70,0,79,82,0,68,"AOC Statistical Report, FY2015"
San Jacinto,Precinct 4 Place 1,Civil,9/1/2014 - 8/31/2015,12,45,0,45,2,0,88,"AOC Statistical Report, FY2015"
San Patricio,Precinct 1,Civil,9/1/2014 - 8/31/2015,12,278,0,92,50,0,329,"AOC Statistical Report, FY2015"
San Patricio,Precinct 2,Civil,9/1/2014 - 8/31/2015,12,51,0,27,15,0,63,"AOC Statistical Report, FY2015"
San Patricio,Precinct 4,Civil,9/1/2014 - 8/31/2015,12,96,0,224,180,0,138,"AOC Statistical Report, FY2015"
San Patricio,Precinct 5,Civil,9/1/2014 - 8/31/2015,12,81,0,95,115,0,62,"AOC Statistical Report, FY2015"
San Patricio,Precinct 6,Civil,9/1/2014 - 8/31/2015,12,82,0,198,163,0,186,"AOC Statistical Report, FY2015"
San Patricio,Precinct 8,Civil,9/1/2014 - 8/31/2015,12,23,0,53,44,0,33,"AOC Statistical Report, FY2015"
San Saba,Countywide,Civil,9/1/2014 - 8/31/2015,12,74,0,38,30,0,86,"AOC Statistical Report, FY2015"
Schleicher,Countywide,Civil,9/1/2014 - 8/31/2015,12,831,0,26,22,0,820,"AOC Statistical Report, FY2015"
Scurry,Precinct 1,Civil,9/1/2014 - 8/31/2015,12,1694,0,100,121,0,1669,"AOC Statistical Report, FY2015"
Scurry,Precinct 2 Place 1,Civil,9/1/2014 - 8/31/2015,12,61,0,25,52,0,33,"AOC Statistical Report, FY2015"
Shackelford,Countywide,Civil,9/1/2014 - 8/31/2015,12,151,0,33,61,0,123,"AOC Statistical Report, FY2015"
Shelby,Precinct 1 Place 1,Civil,9/1/2014 - 8/31/2015,12,92,0,163,82,0,173,"AOC Statistical Report, FY2015"
Shelby,Precinct 2 Place 1,Civil,9/1/2014 - 8/31/2015,12,6,0,11,10,2,5,"AOC Statistical Report, FY2015"
Shelby,Precinct 3 Place 1,Civil,9/1/2014 - 8/31/2015,12,2,0,21,19,0,4,"AOC Statistical Report, FY2015"
Shelby,Precinct 4 Place 1,Civil,9/1/2014 - 8/31/2015,2,0,0,4,4,0,0,"AOC Statistical Report, FY2015"
